course_id,parent_course_id,day_num,source,source_url,course_title,course_type,theme_category,num_pois,status
VS_MVP_033_DAY4,VS_MVP_033,4.0,Visit Seoul,https://english.visitseoul.net/mvp/Ifyouareaculturaltraveler/ENN036599,If you are a cultural traveler,walking,"Culture,History,Traditional,Modern Seoul,Walking",3,success
VS_MVP_034,,,Visit Seoul,https://english.visitseoul.net/mvp/Ifyouareabusinesstraveler/ENN036698,If you are a business traveler,walking,"History,Culture,Modern Seoul,Shopping,Walking",10,success
VS_MVP_035_DAY1,VS_MVP_035,1.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaMuslimtraveler/ENN036598,If you are a Muslim traveler,walking,"Culture,History,Modern Seoul,Shopping,Family",2,success
VS_MVP_035_DAY2,VS_MVP_035,2.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaMuslimtraveler/ENN036598,If you are a Muslim traveler,walking,"Culture,History,Modern Seoul,Shopping,Family",4,success
VS_MVP_035_DAY3,VS_MVP_035,3.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaMuslimtraveler/ENN036598,If you are a Muslim traveler,walking,"Culture,History,Modern Seoul,Shopping,Family",3,success
VS_MVP_035_DAY4,VS_MVP_035,4.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaMuslimtraveler/ENN036598,If you are a Muslim traveler,walking,"Culture,History,Modern Seoul,Shopping,Family",3,success
VS_MVP_036_DAY1,VS_MVP_036,1.0,Visit Seoul,https://english.visitseoul.net/mvp/Ifyouareabudgettraveler/ENN036209,If you are a budget traveler,walking,"Shopping,Food,Modern Seoul,Healing",3,success
VS_MVP_036_DAY2,VS_MVP_036,2.0,Visit Seoul,https://english.visitseoul.net/mvp/Ifyouareabudgettraveler/ENN036209,If you are a budget traveler,walking,"Shopping,Food,Modern Seoul,Healing",4,success
VS_MVP_036_DAY3,VS_MVP_036,3.0,Visit Seoul,https://english.visitseoul.net/mvp/Ifyouareabudgettraveler/ENN036209,If you are a budget traveler,walking,"Shopping,Food,Modern Seoul,Healing",2,success
VS_MVP_037_DAY1AND2,VS_MVP_037,,Visit Seoul,https://english.visitseoul.net/mvp/Ifyouareanactivitylover/ENN036210,If you are an activity lover,walking,"Modern Seoul,Family,Traditional,Shopping,Food",6,success
VS_MVP_037_DAY3,VS_MVP_037,3.0,Visit Seoul,https://english.visitseoul.net/mvp/Ifyouareanactivitylover/ENN036210,If you are an activity lover,walking,"Modern Seoul,Family,Traditional,Shopping,Food",2,success
VS_MVP_038_DAY1,VS_MVP_038,1.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaHallyustarfan/ENN036208,If you are a Hallyu star fan,walking,"K-POP,Culture,Modern Seoul,History,Shopping",1,success
VS_MVP_038_DAY2,VS_MVP_038,2.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaHallyustarfan/ENN036208,If you are a Hallyu star fan,walking,"K-POP,Culture,Modern Seoul,History,Shopping",7,success
VS_MVP_038_DAY3,VS_MVP_038,3.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaHallyustarfan/ENN036208,If you are a Hallyu star fan,walking,"K-POP,Culture,Modern Seoul,History,Shopping",3,success
VS_MVP_038_DAY4,VS_MVP_038,4.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaHallyustarfan/ENN036208,If you are a Hallyu star fan,walking,"K-POP,Culture,Modern Seoul,History,Shopping",3,success
VS_MVP_038_DAY5,VS_MVP_038,5.0,Visit Seoul,https://english.visitseoul.net/mvp/IfyouareaHallyustarfan/ENN036208,If you are a Hallyu star fan,walking,"K-POP,Culture,Modern Seoul,History,Shopping",2,success
VK_THEME_001,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=399187,"BTS in Seoul, Seoul in BTS",theme,"K-POP,Culture,Modern Seoul",4,success
VK_THEME_002,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=341637,RM's Pick: Seoul Art Tour,theme,"K-POP,Culture,Modern Seoul",6,success
VK_THEME_003,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=278790,Seosulla Street: Fusion Cuisine with Traditions,theme,"Culture,Food,Walking,Traditional,Modern Seoul",5,success
VK_THEME_004,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=253,"An authentic Korean trip, traditional and charming.",theme,"Culture,History,Traditional,Food,Walking",6,success
VK_THEME_005,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=250,Time travel to meet Seoul's past and present,theme,"History,Culture,Traditional,Modern Seoul",5,success
VK_THEME_006,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=304969,Explore Korea's Makgeolli Culture in Seoul,theme,"Food,History,Culture,Traditional,Modern Seoul",5,success
VK_THEME_007,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=225243,Korean Campus Tour along Seoul Subway Line 2,theme,"Culture,Modern Seoul",4,success
VK_THEME_008,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=379798,Enjoy Theme Parks and Riverside Picnics at Hangang River in Seoul,theme,"Culture,Shopping,K-POP,Family",8,success
VK_THEME_009,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=208,"Skyscrapers, Nature, and a Theme park—You can Find Them All in Seoul",theme,"Nature,Shopping,Modern Seoul",4,success
VK_THEME_010,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=251,Seoul Must-Do for First-Time Visitors,theme,"History,Culture,Shopping,Traditional,Modern Seoul",5,success
VK_THEME_011,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=285517,"Cha Eun-woo's Pick: Jamsil, Seoul",theme,"Culture,Shopping,Food,Modern Seoul",4,success
VK_THEME_012,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=285553,ENHYPEN's Pick: Bukchon in Seoul,theme,"K-POP,History,Culture,Walking,Traditional",4,success
VK_THEME_013,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=565467,Culinary Adventure Awaits in Insa-dong & Ikseon-dong,theme,"Culture,Food,Shopping,Walking",4,success
VK_THEME_014,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=379814,[For Mothers and Daughters] Embark on a Beauty and Gourmet Tour in Seoul,theme,"Culture,Shopping,Food,Healing,Couple,Traditional,Modern Seoul",7,success
VK_THEME_015,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=565465,Korean Food & Culture Walk in Palaces & Hanok,theme,"Culture,Food,History,Traditional,Walking",5,success
VK_THEME_016,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=551510,Local Flavors & Hidden Gems of Seochon,theme,"Culture,Food,Walking",3,success
VK_THEME_017,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=391454,Feel the Presence of BTS in #Seoul_Hanok,theme,"K-POP,Culture,Traditional",4,success
VK_THEME_018,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=396340,"Seoul Filming Locations of ""Reborn Rich"" and ""Celebrity""",theme,"Culture,Modern Seoul",4,success
VK_THEME_019,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=565466,"Bukchon Food Tour: Learn, Make, and Taste Hansik",theme,"Culture,Food,Traditional",4,success
VK_THEME_020,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=298494,Lee Ju-seung's Pick: Gangdong-gu,theme,"Nature,Culture,History",4,success
VK_THEME_021,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=289973,LUN8's Pick: Euljiro in Seoul,theme,"Culture,Shopping,Food,Nightlife,Traditional,Modern Seoul",5,success
VK_THEME_022,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=289732,Lee Ga-eun's Pick: Jongno in Seoul,theme,"Culture,History,Traditional,Modern Seoul",4,success
VK_THEME_023,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=285567,Lee Jong-hyuk's Pick: Daehak-ro,theme,"Culture,Modern Seoul",5,success
VK_THEME_024,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=285533,PENTAGON's Pick: Walk the heart of Seoul at Myeongdong,theme,"K-POP,Culture,Shopping,Food,Modern Seoul",4,success
VK_THEME_025,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=283218,"Billie's Pick: Seongsu-dong, Seoul",theme,"Culture,Modern Seoul,Food",3,success
VK_THEME_026,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=217013,Punch's Pick: Mangwon Hangang Park in Seoul,theme,"Culture,Healing,Walking",3,success
VK_THEME_027,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=379112,K-pop Stars' Favorite Restaurants in Seoul Revealed!,theme,"K-POP,Food",3,success
VK_THEME_028,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=252,Feel Korea's Vibe in the Center of Seoul!,theme,"History,Culture,Traditional",6,success
VK_THEME_029,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=305004,Revitalize with Seoul Medical Wellness Tour,theme,"Culture,Healing,Traditional",4,success
VK_THEME_030,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=209,This is the trendiest place in Seoul right now!,theme,"Culture,Modern Seoul,K-POP",4,success
VK_THEME_031,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=255,"Meet Seoul, a sustainable eco-city",theme,"Nature,Walking",4,success
VK_THEME_032,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=260,An elegant and romantic trip to Seoul,theme,"Culture,K-POP,Nightlife,Food",5,success
VK_THEME_033,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=300723,Vegan Tour in Seoul,theme,"Culture,Healing",4,success
VK_THEME_034,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=305018,Luxury Tour with a Blend of Tradition & Modern Technology,theme,"History,Culture,Shopping,Traditional,Modern Seoul",4,success
VK_THEME_035,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=258,Seoul offers diverse entertainment,theme,"Culture,Nature,Shopping,Modern Seoul",4,success
VK_THEME_036,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=261,Come and get a taste of the real Gangnam Style,theme,"Culture,Shopping,Food,Modern Seoul",5,success
VK_THEME_037,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=259,"Enjoy a picnic by Hangang River in the morning, and in the afternoon, shop away to your hearts' content!",theme,"Nature,Shopping",3,success
VK_THEME_038,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=248754,A One-of-a-kind Railroad-themed Seoul Tour,theme,"Culture,History,Walking,Modern Seoul",6,success
VK_THEME_039,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=337156,"Filming Spots: ""Tale of the Nine Tailed 1938""",theme,"Culture,Modern Seoul",3,success
VK_THEME_040,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=294697,Exciting Outdoor Activities in Seoul,theme,"Nature,Culture,Traditional,Modern Seoul",4,success
VK_THEME_041,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=430003,Pet-friendly: Top 3 Places to Travel with your Dog in Seoul,theme,"Nature,Family",3,success
VK_THEME_042,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=336512,"Filming Spots: ""Queenmaker""",theme,"Culture,Modern Seoul",4,success
VK_THEME_043,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=254,Walk into the history of Korea!,theme,"History,Walking,Modern Seoul",5,success
VK_THEME_044,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=250399,A Sentimental Walk through Seochon Village,theme,"Culture,Walking,Traditional",5,success
VK_THEME_045,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=336536,"Filming Spots: ""Taxi Driver""",theme,"Culture,Modern Seoul",3,success
VK_THEME_046,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=257,"Enjoy Yongsan, Seoul's up-and-coming attraction",theme,"Culture,K-POP,Modern Seoul",4,success
VK_THEME_047,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=256,Trip to Seoul for hipsters,theme,"Culture,Shopping,Food,Nature,Modern Seoul",5,success
VK_THEME_048,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=346602,"Filming Spots: ""BLACKPINK House"" in Seoul",theme,"K-POP,Culture,Healing",3,success
VK_THEME_049,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=341609,"Filming Spots: ""Divorce Attorney Shin""",theme,"Culture,Modern Seoul",4,success
VK_THEME_050,,,Visit Korea,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=341651,"Filming Spots: ""Kill Boksoon""",theme,"Culture,Modern Seoul",5,success
